I0607 01:44:40.069151       1 feature_gate.go:466] feature gates: {map[]}
I0607 01:44:40.180442       1 secure_serving.go:57] Forcing use of http/1.1 only
I0607 01:44:40.180971       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1780796680\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1780796680\" (2026-06-07 00:44:40 +0000 UTC to 2029-06-07 00:44:40 +0000 UTC (now=2026-06-07 01:44:40.180937258 +0000 UTC))"
I0607 01:44:40.181022       1 secure_serving.go:211] Serving securely on [::]:10258
I0607 01:44:40.181041       1 tracing.go:88] Did not find a trace collector endpoint defined. Switching to NoopTraceProvider
I0607 01:44:40.181045       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
I0607 01:44:40.181444       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0607 01:44:40.181464       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0607 01:44:40.181470       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0607 01:44:40.181475       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0607 01:44:40.181724       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I0607 01:44:40.181740       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
W0607 01:44:40.195283       1 descheduler.go:333] failed to convert Descheduler minor version '' to float: strconv.ParseFloat: parsing "": invalid syntax
I0607 01:44:40.204031       1 reflector.go:367] "Starting reflector" type="*v1.PersistentVolumeClaim" resyncPeriod="0s" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.204094       1 reflector.go:367] "Starting reflector" type="*v1.Pod" resyncPeriod="0s" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.204104       1 reflector.go:411] "Listing and watching" type="*v1.Pod" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.204080       1 reflector.go:411] "Listing and watching" type="*v1.PersistentVolumeClaim" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.204030       1 reflector.go:367] "Starting reflector" type="*v1.Node" resyncPeriod="0s" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.204397       1 reflector.go:411] "Listing and watching" type="*v1.Node" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.215275       1 reflector.go:446] "Caches populated" type="*v1.PersistentVolumeClaim" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.215925       1 reflector.go:446] "Caches populated" type="*v1.Pod" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.219878       1 reflector.go:446] "Caches populated" type="*v1.Node" reflector="k8s.io/client-go/informers/factory.go:161"
I0607 01:44:40.304113       1 descheduler.go:235] Resetting pod evictor counters
I0607 01:44:40.304361       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="ip-172-31-16-198" usage={"cpu":"600m","memory":"250Mi","pods":"4"} usagePercentage={"cpu":30,"memory":31,"pods":4}
I0607 01:44:40.304450       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="ip-172-31-19-34" usage={"cpu":"600m","memory":"250Mi","pods":"4"} usagePercentage={"cpu":30,"memory":31,"pods":4}
I0607 01:44:40.304473       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="ip-172-31-3-39" usage={"cpu":"600m","memory":"250Mi","pods":"4"} usagePercentage={"cpu":30,"memory":31,"pods":4}
I0607 01:44:40.304497       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="ip-172-31-31-146" usage={"cpu":"600m","memory":"250Mi","pods":"4"} usagePercentage={"cpu":30,"memory":31,"pods":4}
I0607 01:44:40.304514       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="ip-172-31-6-144" usage={"cpu":"600m","memory":"250Mi","pods":"4"} usagePercentage={"cpu":30,"memory":31,"pods":4}
I0607 01:44:40.304534       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="ip-172-31-1-245" usage={"cpu":"600m","memory":"250Mi","pods":"5"} usagePercentage={"cpu":30,"memory":31,"pods":5}
I0607 01:44:40.304554       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="overutilized" node="ip-172-31-84-108" usage={"cpu":"850m","memory":"220Mi","pods":"7"} usagePercentage={"cpu":43,"memory":6,"pods":6}
I0607 01:44:40.304575       1 highnodeutilization.go:217] "Criteria for a node below target utilization" plugin="HighNodeUtilization" ExtensionPoint="Balance" memory="40.00%" cpu="40.00%"
