I0614 13:50:17.524132       1 feature_gate.go:466] feature gates: {map[]}
I0614 13:50:17.615360       1 secure_serving.go:57] Forcing use of http/1.1 only
I0614 13:50:17.615895       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1781445017\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1781445017\" (2026-06-14 12:50:17 +0000 UTC to 2029-06-14 12:50:17 +0000 UTC (now=2026-06-14 13:50:17.615858382 +0000 UTC))"
I0614 13:50:17.615937       1 secure_serving.go:211] Serving securely on [::]:10258
I0614 13:50:17.615958       1 tracing.go:88] Did not find a trace collector endpoint defined. Switching to NoopTraceProvider
I0614 13:50:17.616304       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0614 13:50:17.616329       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I0614 13:50:17.616337       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0614 13:50:17.616343       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0614 13:50:17.616350       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0614 13:50:17.616355       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0614 13:50:17.617133       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
W0614 13:50:17.628097       1 descheduler.go:333] failed to convert Descheduler minor version '' to float: strconv.ParseFloat: parsing "": invalid syntax
I0614 13:50:17.638256       1 reflector.go:367] "Starting reflector" type="*v1.Node" resyncPeriod="0s" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.638278       1 reflector.go:367] "Starting reflector" type="*v1.PersistentVolumeClaim" resyncPeriod="0s" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.638281       1 reflector.go:411] "Listing and watching" type="*v1.Node" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.638293       1 reflector.go:411] "Listing and watching" type="*v1.PersistentVolumeClaim" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.638476       1 reflector.go:367] "Starting reflector" type="*v1.Pod" resyncPeriod="0s" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.638486       1 reflector.go:411] "Listing and watching" type="*v1.Pod" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.642258       1 reflector.go:978] "Exiting watch because received the bookmark that marks the end of initial events stream" reflector="k8s.io/client-go/informers/factory.go:161" totalItems=1 duration="3.935397ms"
I0614 13:50:17.642383       1 reflector.go:446] "Caches populated" type="*v1.PersistentVolumeClaim" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.643802       1 reflector.go:978] "Exiting watch because received the bookmark that marks the end of initial events stream" reflector="k8s.io/client-go/informers/factory.go:161" totalItems=8 duration="5.485053ms"
I0614 13:50:17.643839       1 reflector.go:446] "Caches populated" type="*v1.Node" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.650916       1 reflector.go:978] "Exiting watch because received the bookmark that marks the end of initial events stream" reflector="k8s.io/client-go/informers/factory.go:161" totalItems=32 duration="12.410632ms"
I0614 13:50:17.650990       1 reflector.go:446] "Caches populated" type="*v1.Pod" reflector="k8s.io/client-go/informers/factory.go:161"
I0614 13:50:17.738358       1 descheduler.go:466] Waiting for metrics collector to sync
I0614 13:50:17.738378       1 descheduler.go:462] Starting metrics collector
I0614 13:50:18.738778       1 descheduler.go:235] Resetting pod evictor counters
I0614 13:50:18.739052       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="worker-6" usage={"cpu":"150m","memory":"290Mi","pods":"3"} usagePercentage={"cpu":8,"memory":36,"pods":3}
I0614 13:50:18.739157       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="worker-4" usage={"cpu":"150m","memory":"210Mi","pods":"3"} usagePercentage={"cpu":8,"memory":26,"pods":3}
I0614 13:50:18.739181       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="underutilized" node="worker-5" usage={"cpu":"150m","memory":"210Mi","pods":"3"} usagePercentage={"cpu":8,"memory":26,"pods":3}
I0614 13:50:18.739202       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="overutilized" node="controlplane" usage={"cpu":"1050m","memory":"490Mi","pods":"9"} usagePercentage={"cpu":53,"memory":13,"pods":8}
I0614 13:50:18.739227       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="overutilized" node="worker-1" usage={"cpu":"1400m","memory":"350Mi","pods":"4"} usagePercentage={"cpu":70,"memory":43,"pods":4}
I0614 13:50:18.739253       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="overutilized" node="worker-2" usage={"cpu":"1400m","memory":"350Mi","pods":"5"} usagePercentage={"cpu":70,"memory":43,"pods":5}
I0614 13:50:18.739278       1 highnodeutilization.go:193] "Node has been classified" plugin="HighNodeUtilization" ExtensionPoint="Balance" category="overutilized" node="worker-3" usage={"cpu":"1400m","memory":"350Mi","pods":"4"} usagePercentage={"cpu":70,"memory":43,"pods":4}
I0614 13:50:18.739300       1 highnodeutilization.go:217] "Criteria for a node below target utilization" plugin="HighNodeUtilization" ExtensionPoint="Balance" cpu="40.00%" memory="40.00%"
I0614 13:50:18.739334       1 highnodeutilization.go:218] "Number of underutilized nodes" plugin="HighNodeUtilization" ExtensionPoint="Balance" totalNumber=3
I0614 13:50:18.739364       1 nodeutilization.go:186] "Total capacity to be moved" CPU=2750 Mem=4841914368 Pods=418
I0614 13:50:18.739402       1 nodeutilization.go:194] "Evicting pods from node" node="worker-4" usage={"cpu":"150m","memory":"210Mi","pods":"3"}
I0614 13:50:18.739493       1 defaultevictor.go:497] "Pod fails the following checks" plugin="DefaultEvictor" ExtensionPoint="Filter" pod="kube-system/kube-proxy-9dcgh" checks="[pod has system critical priority and is protected against eviction, pod has higher priority than specified priority class threshold, pod has local storage and is protected against eviction, daemonset pods are protected against eviction]"
I0614 13:50:18.739643       1 defaultevictor.go:497] "Pod fails the following checks" plugin="DefaultEvictor" ExtensionPoint="Filter" pod="kube-flannel/kube-flannel-ds-jtklr" checks="[pod has system critical priority and is protected against eviction, pod has higher priority than specified priority class threshold, pod has local storage and is protected against eviction, daemonset pods are protected against eviction]"
